#municipalities,population,cases
Taquarituba/SP,23292,3830
Taquarivaí/SP,5968,533
Taquarussu/MS,3588,268
Taquaruçu do Sul/RS,3081,565
Tarabai/SP,7609,874
Tarauacá/AC,43730,6587
Tarrafas/CE,8555,650
Tartarugalzinho/AP,18217,1966
Tarumirim/MG,14280,540
Tarumã/SP,15361,1783
Tasso Fragoso/MA,8642,984
Tatuí/SP,124134,10948
Taubaté/SP,320820,28995
Tauá/CE,59259,8879
Tavares/PB,14791,1006
Tavares/RS,5484,533
Tefé/AM,59250,9840
Teixeira Soares/PR,12761,860
Teixeira de Freitas/BA,164290,19223
Teixeira/PB,15333,1068
Teixeiras/MG,11680,1011
Teixeirópolis/RO,4160,534
Tejupá/SP,4452,143
Tejuçuoca/CE,19551,1796
Telha/SE,3271,406
Telêmaco Borba/PR,80588,17463
Tenente Ananias/RN,10923,1282
Tenente Laurentino Cruz/RN,6085,864
Tenente Portela/RS,13385,1765
Tenório/PB,3103,163
Teodoro Sampaio/BA,7296,311
Teodoro Sampaio/SP,23395,2973
Teofilândia/BA,22590,1040
Teolândia/BA,15097,1017
Teotônio Vilela/AL,44570,2252
Terenos/MS,22721,1769
Teresina de Goiás/GO,3538,223
Teresina/PI,871126,106493
Teresópolis/RJ,185820,32742
Terezinha/PE,7227,573
Terezópolis de Goiás/GO,8326,1269
Terra Alta/PA,11971,654
Terra Boa/PR,17304,2552
Terra Nova do Norte/MT,9284,1288
Terra Nova/BA,13018,911
Terra Nova/PE,10314,1060
Terra Rica/PR,17054,1014
Terra Roxa/PR,17562,2185
Terra Roxa/SP,9502,1178
Terra Santa/PA,19063,1374
Terra de Areia/RS,11323,787
Tesouro/MT,3761,326
Teutônia/RS,34275,5094
Teófilo Otoni/MG,141269,13994
Theobroma/RO,10348,850
Tianguá/CE,77111,9730
Tibagi/PR,20688,2656
Tibau do Sul/RN,14694,1914
Tibau/RN,4173,757
Tietê/SP,42946,4387
Tigrinhos/SC,1606,388
Tijucas do Sul/PR,17295,2194
Tijucas/SC,39889,6976
Timbaúba dos Batistas/RN,2427,365
Timbaúba/PE,52587,3726
Timbiras/MA,29241,576
Timburi/SP,2647,167
Timbé do Sul/SC,5338,964
Timbó Grande/SC,8003,795
Timbó/SC,45703,7688
Timon/MA,171317,6064
Timóteo/MG,91268,12204
Tio Hugo/RS,3078,436
Tiradentes do Sul/RS,5532,254
Tiradentes/MG,8160,673
Tiros/MG,6369,476
Tobias Barreto/SE,52861,4746
Tocantins/MG,16769,2463
Tocantinópolis/TO,22820,2506
Tocantínia/TO,7688,960
Tocos do Moji/MG,4117,383
Toledo/MG,6336,696
Toledo/PR,144601,26601
Tomar do Geru/SE,13534,1088
Tomazina/PR,7699,837
Tombos/MG,7683,1045
Tomé-Açu/PA,64604,2745
Tonantins/AM,19038,1392
Toritama/PE,47088,1592
Torixoréu/MT,3487,668
Toropi/RS,2753,343
Torre de Pedra/SP,2432,183
Torres/RS,39381,6003
Torrinha/SP,10100,1557
Touros/RN,33716,1419
Trabiju/SP,1752,222
Tracuateua/PA,31549,743
Tracunhaém/PE,13856,293
Traipu/AL,27934,643
Trairi/CE,56653,2513
Trairão/PA,19344,1408
Trajano de Moraes/RJ,10653,919
Tramandaí/RS,53507,7026
Travesseiro/RS,2331,252
Tremedal/BA,15996,789
Tremembé/SP,48228,2731
Treviso/SC,4002,880
Treze Tílias/SC,8138,1007
Treze de Maio/SC,7104,1237
Trindade do Sul/RS,5781,869
Trindade/GO,132006,15676
Trindade/PE,31103,2056
Triunfo Potiguar/RN,3195,381
Triunfo/PB,9473,1110
Triunfo/PE,15232,1037
Triunfo/RS,30159,2865
Trizidela do Vale/MA,22223,1720
Trombas/GO,3497,465
Trombudo Central/SC,7506,1323
Três Arroios/RS,2620,233
Três Barras do Paraná/PR,12036,1422
Três Barras/SC,19455,2326
Três Cachoeiras/RS,11174,1199
Três Corações/MG,80561,9247
Três Coroas/RS,28948,3086
Três Forquilhas/RS,2643,416
Três Fronteiras/SP,5856,879
Três Lagoas/MS,125137,20054
Três Marias/MG,33062,2582
Três Palmeiras/RS,4232,609
Três Passos/RS,23799,2983
Três Pontas/MG,57127,7247
Três Ranchos/GO,2830,275
Três Rios/RJ,82468,10760
Três de Maio/RS,23846,3368
Tubarão/SC,107143,21762
Tucano/BA,50903,3638
Tucumã/PA,40661,5080
Tucunduva/RS,5612,848
Tucuruí/PA,116605,8004
Tufilândia/MA,5868,313
Tuiuti/SP,7058,301
Tumiritinga/MG,6797,562
Tunas do Paraná/PR,9269,791
Tunas/RS,4585,288
Tuneiras do Oeste/PR,8502,1063
Tuntum/MA,42242,2251
Tunápolis/SC,4507,1198
Tupaciguara/MG,25466,3296
Tupanatinga/PE,27793,984
Tupanci do Sul/RS,1447,118
Tupanciretã/RS,24182,2732
Tupandi/RS,5019,803
Tuparendi/RS,7730,1155
Tuparetama/PE,8266,657
Tupi Paulista/SP,15670,1677
Tupirama/TO,1952,211
Tupiratins/TO,2785,199
Tupã/SP,65615,7186
Tupãssi/PR,8105,891
Turiaçu/MA,35811,323
Turilândia/MA,26112,908
Turiúba/SP,2024,185
Turmalina/MG,20280,1545
Turmalina/SP,1667,207
Tururu/CE,16588,1489
Turuçu/RS,3408,335
Turvelândia/GO,5447,958
Turvo/PR,12977,2562
Turvo/SC,13080,2208
Turvolândia/MG,5099,410
Turvânia/GO,4526,747
Tutóia/MA,59927,1643
Uarini/AM,13839,1971
Uauá/BA,23991,3005
Ubaitaba/BA,18647,1259
Ubajara/CE,35295,2093
Ubaporanga/MG,12514,1593
Ubarana/SP,6488,1076
Ubatuba/SP,92819,7883
Ubatã/BA,27481,2057
Ubaí/MG,12661,531
Ubaíra/BA,19860,1184
Uberaba/MG,340277,42746
Uberlândia/MG,706597,126465
Ubirajara/SP,4828,567
Ubiratã/PR,20809,2055
Ubiretama/RS,1952,115
Ubá/MG,117995,15226
Uchoa/SP,10191,1466
Uibaí/BA,13894,1007
Uiramutã/RR,11014,1196
Uirapuru/GO,2829,262
Uiraúna/PB,15356,858
Ulianópolis/PA,62286,2621
Umari/CE,7740,535
Umarizal/RN,10485,1670
Umbaúba/SE,25800,2134
Umburanas/BA,19573,770
Umburatiba/MG,2582,272
Umbuzeiro/PB,9914,547
Umirim/CE,19976,971
Umuarama/PR,113416,17978
Una/BA,18108,1666
Unaí/MG,85461,14671
Uniflor/PR,2623,119
Unistalda/RS,2306,187
União Paulista/SP,1886,230
União da Serra/RS,1084,81
União da Vitória/PR,58298,7474
União de Minas/MG,4265,384
União do Oeste/SC,2364,407
União do Sul/MT,3455,680
União dos Palmares/AL,65963,2643
União/PI,44649,2323
Upanema/RN,14937,1365
Urandi/BA,16672,857
Uraí/PR,11233,732
Urbano Santos/MA,33791,1869
Uru/SP,1142,171
Uruana de Minas/MG,3256,285
Uruana/GO,13795,1866
Uruará/PA,45395,2324
Uruaçu/GO,41150,6544
Urubici/SC,11311,741
Uruburetama/CE,22223,1856
Urucará/AM,16007,2545
Urucuia/MG,17470,631
Urucurituba/AM,24098,2728
Urucânia/MG,10333,1097
Uruguaiana/RS,126766,14463
Uruoca/CE,13988,1734
Urupema/SC,2453,294
Urupá/RO,11081,1289
Urupês/SP,13965,885
Urussanga/SC,21419,4041
Urutaí/GO,3056,270
Uruçuca/BA,20312,2070
Uruçuí/PI,21746,4075
Urânia/SP,9125,1414
Utinga/BA,19330,1688
Vacaria/RS,66916,9867
Vale Real/RS,6046,825
Vale Verde/RS,3531,248
Vale de São Domingos/MT,3124,315
Vale do Anari/RO,11545,1225
Vale do Paraíso/RO,6490,858
Vale do Sol/RS,11873,911
Valente/BA,29111,2846
Valentim Gentil/SP,13732,2439
Valença do Piauí/PI,20940,1904
Valença/BA,97873,7995
Valença/RJ,77202,5778
Valinhos/SP,133169,14959
Valparaíso de Goiás/GO,175720,15757
Valparaíso/SP,27154,3121
Vanini/RS,2130,339
Vargem Alegre/MG,6460,433
Vargem Alta/ES,21778,2692
Vargem Bonita/MG,2143,247
Vargem Bonita/SC,4411,803
Vargem Grande Paulista/SP,54315,3017
Vargem Grande do Rio Pardo/MG,5045,502
Vargem Grande do Sul/SP,43368,3250
Vargem Grande/MA,57813,2171
Vargem/SC,2387,535
Vargem/SP,10842,413
Vargeão/SC,3569,366
Varginha/MG,137608,17838
Varjota/CE,18520,2626
Varjão de Minas/MG,7235,795
Varjão/GO,3848,605
Varre-Sai/RJ,11208,2879
Varzedo/BA,8734,655
Varzelândia/MG,19290,774
Vassouras/RJ,37262,3190
Vazante/MG,20692,2981
Venda Nova do Imigrante/ES,26204,4765
Venha-Ver/RN,4232,336
Ventania/PR,12267,1190
Venturosa/PE,18835,1479
Venâncio Aires/RS,72373,10308
Vera Cruz do Oeste/PR,8389,1206
Vera Cruz/BA,44185,1787
Vera Cruz/RN,12789,1291
Vera Cruz/RS,27325,3480
Vera Cruz/SP,10804,664
Vera Mendes/PI,3082,237
Vera/MT,11731,1380
Veranópolis/RS,26813,4934
Verdejante/PE,9572,538
Verdelândia/MG,9527,565
Vereda/BA,6105,653
Veredinha/MG,5733,221
Vermelho Novo/MG,4852,391
Vertente do Lério/PE,7526,766
Vertentes/PE,21172,1599
Verê/PR,7094,1149
Veríssimo/MG,4090,174
Vespasiano Corrêa/RS,1776,304
Vespasiano/MG,131849,6550
Viadutos/RS,4628,500
Viamão/RS,257330,14215
Viana/ES,80735,9138
Viana/MA,52852,331
Vianópolis/GO,14088,1094
Vicente Dutra/RS,4530,285
Vicentina/MS,6115,957
Vicentinópolis/GO,9002,1414
Victor Graeff/RS,2840,432
Vicência/PE,32897,792
Vidal Ramos/SC,6321,721
Videira/SC,54145,11528
Vieiras/MG,3570,372
Vieirópolis/PB,5395,294
Vigia/PA,54650,2901
Vila Bela da Santíssima Trindade/MT,16412,2643
Vila Boa/GO,6451,216
Vila Flor/RN,3217,297
Vila Flores/RS,3407,839
Vila Lângaro/RS,2070,306
Vila Maria/RS,4368,730
Vila Nova do Piauí/PI,2935,342
Vila Nova do Sul/RS,4274,389
Vila Nova dos Martírios/MA,13800,617
Vila Pavão/ES,9280,1087
Vila Propício/GO,5941,416
Vila Rica/MT,26946,2337
Vila Valério/ES,14065,3324
Vila Velha/ES,508655,74641
Vilhena/RO,104517,14947
Vinhedo/SP,81516,10582
Viradouro/SP,19133,2091
Virgem da Lapa/MG,13729,591
Virginópolis/MG,10459,898
Virgolândia/MG,5303,445
Virgínia/MG,8652,781
Virmond/PR,4051,339
Visconde do Rio Branco/MG,43351,4582
Viseu/PA,62093,1556
Vista Alegre do Alto/SP,9163,1154
Vista Alegre do Prata/RS,1553,142
Vista Alegre/RS,2726,354
Vista Gaúcha/RS,2858,265
Vista Serrana/PB,3850,192
Vitor Meireles/SC,4907,559
Vitorino Freire/MA,31520,2356
Vitorino/PR,6879,1098
Vitória Brasil/SP,1852,250
Vitória da Conquista/BA,343643,35823
Vitória das Missões/RS,3052,376
Vitória de Santo Antão/PE,140389,7383
Vitória do Jari/AP,16572,3933
Vitória do Mearim/MA,32956,2085
Vitória do Xingu/PA,15421,2209
Vitória/ES,369534,65080
Viçosa do Ceará/CE,61916,5228
Viçosa/AL,25655,1856
Viçosa/MG,79910,9140
Viçosa/RN,1731,480
Volta Grande/MG,5270,474
Volta Redonda/RJ,274925,38601
Votorantim/SP,124468,11685
Votuporanga/SP,96106,16177
Várzea Alegre/CE,41078,4227
Várzea Branca/PI,4930,203
Várzea Grande/MT,290383,38957
Várzea Grande/PI,4382,554
Várzea Nova/BA,12556,904
Várzea Paulista/SP,124269,8993
Várzea da Palma/MG,40101,4107
Várzea da Roça/BA,14135,1091
Várzea do Poço/BA,9247,541
Várzea/PB,2870,130
Várzea/RN,5529,395
Wagner/BA,9342,969
Wall Ferraz/PI,4479,333
Wanderley/BA,12125,1042
Wanderlândia/TO,11783,1420
Wenceslau Braz/MG,2543,232
Wenceslau Braz/PR,19358,2263
Wenceslau Guimarães/BA,20862,1963
Westfália/RS,3046,366
Witmarsum/SC,4032,425
Xambioá/TO,11500,2427
Xambrê/PR,5584,604
Xangri-lá/RS,17126,2327
Xanxerê/SC,52290,10854
Xapuri/AC,19866,3030
Xavantina/SC,3873,448
Xaxim/SC,29254,6101
Xexéu/PE,14789,605
Xinguara/PA,45416,4821
Xique-Xique/BA,46562,3076
Zabelê/PB,2269,147
Zacarias/SP,2784,268
Zortéa/SC,3432,843
Zé Doca/MA,52190,5329
Água Azul do Norte/PA,27797,1266
Água Boa/MG,13319,620
Água Boa/MT,26679,3849
Água Branca/AL,20263,543
Água Branca/PB,10375,1141
Água Branca/PI,17525,1514
Água Clara/MS,16025,2945
Água Comprida/MG,1986,195
Água Doce do Maranhão/MA,12731,684
Água Doce do Norte/ES,10801,1022
Água Doce/SC,7160,1278
Água Fria de Goiás/GO,5843,344
Água Fria/BA,17096,205
Água Limpa/GO,1809,189
Água Nova/RN,3293,324
Água Preta/PE,37386,1619
Água Santa/RS,3738,582
Águas Belas/PE,43923,2044
Águas Formosas/MG,19285,1052
Águas Frias/SC,2341,586
Águas Lindas de Goiás/GO,222850,9662
Águas Mornas/SC,6646,747
Águas Vermelhas/MG,13656,469
Águas da Prata/SP,8262,653
Águas de Chapecó/SC,6544,609
Águas de Lindóia/SP,18908,2068
Águas de Santa Bárbara/SP,6142,606
Águas de São Pedro/SP,3588,461
Águia Branca/ES,9621,1957
Álvares Florence/SP,3616,624
Álvares Machado/SP,25078,2449
Álvaro de Carvalho/SP,5320,286
Áurea/RS,3517,331
Ângulo/PR,2931,381
Érico Cardoso/BA,10513,329
Óbidos/PA,52473,6654
Óleo/SP,2447,156
