#city,population,cases
São João da Paraúna(GO),1381,75
São Luiz do Norte(GO),5167,295
São Luís de Montes Belos(GO),33817,3198
São Miguel do Araguaia(GO),21993,1436
São Miguel do Passa Quatro(GO),4057,170
São Patrício(GO),2036,211
São Simão(GO),20645,901
Sítio d'Abadia(GO),2989,26
Taquaral de Goiás(GO),3529,185
Teresina de Goiás(GO),3458,158
Terezópolis de Goiás(GO),8043,765
Trindade(GO),127599,7652
Trombas(GO),3500,372
Três Ranchos(GO),2833,155
Turvelândia(GO),5281,573
Turvânia(GO),4598,533
Uirapuru(GO),2854,134
Uruana(GO),13843,816
Uruaçu(GO),40532,3200
Urutaí(GO),3072,142
Valparaíso de Goiás(GO),168468,10880
Varjão(GO),3827,229
Vianópolis(GO),13863,606
Vicentinópolis(GO),8743,1056
Vila Boa(GO),6171,124
Vila Propício(GO),5821,313
Água Fria de Goiás(GO),5735,173
Água Limpa(GO),1850,102
Águas Lindas de Goiás(GO),212440,6222
Abaré(BA),20086,717
Abaíra(BA),8739,249
Acajutiba(BA),15159,475
Adustina(BA),17040,619
Aiquara(BA),4446,436
Alagoinhas(BA),151596,10752
Alcobaça(BA),22470,1211
Almadina(BA),5464,587
Amargosa(BA),37241,2259
Amélia Rodrigues(BA),25102,1781
América Dourada(BA),16094,684
Anagé(BA),22005,732
Andaraí(BA),13143,630
Andorinha(BA),14595,692
Angical(BA),13977,434
Anguera(BA),11221,324
Antas(BA),19291,1036
Antônio Cardoso(BA),11683,317
Antônio Gonçalves(BA),11798,642
Aporá(BA),17731,447
Apuarema(BA),7330,625
Aracatu(BA),13135,696
Araci(BA),54379,3178
Aramari(BA),11397,510
Arataca(BA),11019,469
Aratuípe(BA),8825,303
Araçás(BA),12177,535
Aurelino Leal(BA),11531,812
Baianópolis(BA),13877,437
Baixa Grande(BA),20468,607
Banzaê(BA),13229,814
Barra(BA),53578,1617
Barra da Estiva(BA),20598,1383
Barra do Choça(BA),31603,1731
Barra do Mendes(BA),13865,642
Barra do Rocha(BA),5714,354
Barreiras(BA),155439,12419
Barro Alto(BA),14931,708
Barro Preto(BA),5591,539
Barrocas(BA),15978,668
Belmonte(BA),23328,886
Belo Campo(BA),17211,645
Biritinga(BA),15979,285
Boa Nova(BA),12633,712
Boa Vista do Tupim(BA),18576,177
Bom Jesus da Lapa(BA),69148,3248
Bom Jesus da Serra(BA),9880,406
Boninal(BA),14368,566
Bonito(BA),16764,634
Boquira(BA),21508,452
Botuporã(BA),10211,188
Brejolândia(BA),10557,129
Brejões(BA),14295,543
Brotas de Macaúbas(BA),10231,60
Brumado(BA),67195,8120
Buerarema(BA),18349,1226
Buritirama(BA),21174,756
Caatiba(BA),6758,703
Cabaceiras do Paraguaçu(BA),18807,420
Cachoeira(BA),33470,1214
Caculé(BA),23170,1311
Caetanos(BA),14542,547
Caetité(BA),50975,1916
Cafarnaum(BA),18437,750
Cairu(BA),18176,1018
Caldeirão Grande(BA),13327,536
Camacan(BA),31988,2377
Camamu(BA),35316,1927
Camaçari(BA),299132,20239
Campo Alegre de Lourdes(BA),28798,539
Campo Formoso(BA),71206,3705
Canarana(BA),26176,1211
Canavieiras(BA),31099,970
Candeal(BA),8258,464
Candeias(BA),87076,6022
Candiba(BA),14319,526
Cansanção(BA),34834,709
Canudos(BA),16668,489
Canápolis(BA),9711,261
Capela do Alto Alegre(BA),11637,754
Capim Grosso(BA),30662,3143
Caravelas(BA),22016,1145
Caraíbas(BA),8951,241
Cardeal da Silva(BA),9295,258
Carinhanha(BA),29018,804
Casa Nova(BA),71969,1595
Castro Alves(BA),26264,1193
Catolândia(BA),3577,145
Catu(BA),54704,4830
Caturama(BA),9329,193
Caém(BA),9213,418
Central(BA),17266,324
Chorrochó(BA),11177,162
Cipó(BA),17300,577
Coaraci(BA),16993,1667
Cocos(BA),18777,560
Conceição da Feira(BA),22581,1203
Conceição do Almeida(BA),17247,1917
Conceição do Coité(BA),66612,7154
Conceição do Jacuípe(BA),33153,2284
Conde(BA),25837,716
Condeúba(BA),17247,754
Contendas do Sincorá(BA),4066,202
Coração de Maria(BA),22605,1250
Cordeiros(BA),8614,612
Coribe(BA),14194,876
Coronel João Sá(BA),15895,730
Correntina(BA),32137,1961
Cotegipe(BA),13782,398
Cravolândia(BA),5349,267
Cristópolis(BA),13910,603
Crisópolis(BA),21103,308
Cruz das Almas(BA),63239,3818
Curaçá(BA),34700,943
Cândido Sales(BA),25189,1609
Cícero Dantas(BA),32515,1352
Dias d'Ávila(BA),81089,4899
Dom Basílio(BA),12199,732
Dom Macedo Costa(BA),4058,339
Dário Meira(BA),10710,785
Elísio Medrado(BA),8122,428
Encruzilhada(BA),17006,575
Entre Rios(BA),41780,1166
Esplanada(BA),37237,1448
Euclides da Cunha(BA),60585,2337
Eunápolis(BA),113380,9086
Feira da Mata(BA),5665,182
Feira de Santana(BA),614872,38785
Filadélfia(BA),16377,939
Firmino Alves(BA),5617,305
Floresta Azul(BA),10629,735
Formosa do Rio Preto(BA),25591,790
Fátima(BA),17890,795
Gandu(BA),32403,2442
Gavião(BA),4463,305
Gentio do Ouro(BA),11233,311
Glória(BA),15221,532
Gongogi(BA),7128,450
Governador Mangabeira(BA),20722,763
Guajeru(BA),6937,289
Guanambi(BA),84481,6422
Guaratinga(BA),20843,1247
Heliópolis(BA),13031,546
Iaçu(BA),24305,1288
Ibiassucê(BA),9224,389
Ibicaraí(BA),21689,1856
Ibicoara(BA),19571,566
Ibicuí(BA),16198,1020
Ibipeba(BA),18211,910
Ibipitanga(BA),14902,881
Ibiquera(BA),4044,109
Ibirapitanga(BA),23375,1447
Ibirapuã(BA),8637,934
Ibirataia(BA),15312,2102
Ibitiara(BA),16339,536
Ibititá(BA),17113,1304
Ibotirama(BA),26927,826
Ichu(BA),6206,327
Igaporã(BA),15640,414
Igrapiúna(BA),13226,666
Iguaí(BA),26916,848
Ilhéus(BA),162327,17294
Inhambupe(BA),39926,1393
Ipecaetá(BA),14487,252
Ipiaú(BA),45873,2984
