NOME DO MUNICÍPIO,COD. MUNIC,POPULAÇÃO ESTIMADA
Jales/SP,3524808,49291.00
Monte Santo/BA,2921500,49145.00
Pacajá/PA,1505486,49110.00
Pedreira/SP,3537107,48992.00
Bom Conselho/PE,2602100,48975.00
Maracaju/MS,5005400,48944.00
Lapa/PR,4113205,48651.00
Mauriti/CE,2308104,48370.00
São Benedito/CE,2312304,48354.00
Presidente Dutra/MA,2109106,48264.00
Tremembé/SP,3554805,48228.00
Nova Mutum/MT,5106224,48222.00
Santa Cruz do Rio Pardo/SP,3546405,48207.00
Aquidauana/MS,5001102,48184.00
Conceição do Araguaia/PA,1502707,48115.00
Monte Carmelo/MG,3143104,48049.00
João Pinheiro/MG,3136306,47990.00
